Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 3,2.466666666666665,-9.53333333333336,-1.3999999999999986,3.26666666666668,-44.93333333333328,-77.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-7.53333333333336,-0.3999999999999986,5.26666666666668,-42.93333333333328,-74.26666666666665,Soy Sauce
Trial 3,3.466666666666665,-5.53333333333336,-0.3999999999999986,5.26666666666668,-42.93333333333328,-73.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-3.53333333333336,0.6000000000000014,8.26666666666668,-40.93333333333328,-70.26666666666665,Soy Sauce
Trial 3,3.466666666666665,-0.5333333333333599,1.6000000000000014,9.26666666666668,-39.93333333333328,-69.26666666666665,Soy Sauce
Trial 3,3.466666666666665,1.4666666666666401,1.6000000000000014,10.26666666666668,-38.93333333333328,-68.26666666666665,Soy Sauce
Trial 3,3.466666666666665,2.46666666666664,1.6000000000000014,11.26666666666668,-37.93333333333328,-65.26666666666665,Soy Sauce
Trial 3,3.466666666666665,4.46666666666664,1.6000000000000014,13.26666666666668,-36.93333333333328,-64.26666666666665,Soy Sauce
Trial 3,3.466666666666665,6.46666666666664,1.6000000000000014,14.26666666666668,-35.93333333333328,-62.26666666666665,Soy Sauce
Trial 3,4.466666666666665,8.46666666666664,2.6000000000000014,14.26666666666668,-34.93333333333328,-61.26666666666665,Soy Sauce
Trial 3,4.466666666666665,10.46666666666664,2.6000000000000014,16.26666666666668,-33.93333333333328,-59.26666666666665,Soy Sauce
Trial 3,4.466666666666665,12.46666666666664,3.6000000000000014,18.26666666666668,-32.93333333333328,-58.26666666666665,Soy Sauce
Trial 3,4.466666666666665,14.46666666666664,4.600000000000001,19.26666666666668,-31.93333333333328,-57.26666666666665,Soy Sauce
Trial 3,4.466666666666665,15.46666666666664,4.600000000000001,19.26666666666668,-31.93333333333328,-55.26666666666665,Soy Sauce
Trial 3,4.466666666666665,17.46666666666664,4.600000000000001,21.26666666666668,-30.93333333333328,-53.26666666666665,Soy Sauce
Trial 3,5.466666666666665,19.46666666666664,5.600000000000001,22.26666666666668,-29.93333333333328,-52.26666666666665,Soy Sauce
Trial 3,5.466666666666665,21.46666666666664,5.600000000000001,24.26666666666668,-28.93333333333328,-51.26666666666665,Soy Sauce
Trial 3,5.466666666666665,22.46666666666664,5.600000000000001,25.26666666666668,-28.93333333333328,-50.26666666666665,Soy Sauce
Trial 3,5.466666666666665,24.46666666666664,6.600000000000001,26.26666666666668,-27.93333333333328,-49.26666666666665,Soy Sauce
Trial 3,4.466666666666665,26.46666666666664,6.600000000000001,28.26666666666668,-26.93333333333328,-47.26666666666665,Soy Sauce
Trial 3,5.466666666666665,27.46666666666664,6.600000000000001,29.26666666666668,-25.93333333333328,-47.26666666666665,Soy Sauce
Trial 3,5.466666666666665,29.46666666666664,6.600000000000001,30.26666666666668,-24.93333333333328,-44.26666666666665,Soy Sauce
Trial 3,6.466666666666665,31.46666666666664,7.600000000000001,31.26666666666668,-24.93333333333328,-43.26666666666665,Soy Sauce
Trial 3,6.466666666666665,32.46666666666664,7.600000000000001,32.26666666666668,-23.93333333333328,-43.26666666666665,Soy Sauce
Trial 3,5.466666666666665,34.46666666666664,8.600000000000001,34.26666666666668,-22.93333333333328,-40.26666666666665,Soy Sauce
Trial 3,5.466666666666665,36.46666666666664,9.600000000000001,35.26666666666668,-21.93333333333328,-39.26666666666665,Soy Sauce
Trial 3,6.466666666666665,37.46666666666664,9.600000000000001,36.26666666666668,-21.93333333333328,-38.26666666666665,Soy Sauce
Trial 3,6.466666666666665,39.46666666666664,9.600000000000001,36.26666666666668,-20.93333333333328,-38.26666666666665,Soy Sauce
Trial 3,6.466666666666665,40.46666666666664,9.600000000000001,37.26666666666668,-20.93333333333328,-37.26666666666665,Soy Sauce
Trial 3,6.466666666666665,42.46666666666664,9.600000000000001,38.26666666666668,-19.93333333333328,-36.26666666666665,Soy Sauce
Trial 3,6.466666666666665,43.46666666666664,10.600000000000001,40.26666666666668,-18.93333333333328,-34.26666666666665,Soy Sauce
Trial 3,7.466666666666665,44.46666666666664,10.600000000000001,41.26666666666668,-18.93333333333328,-33.26666666666665,Soy Sauce
Trial 3,6.466666666666665,46.46666666666664,11.600000000000001,42.26666666666668,-17.93333333333328,-32.26666666666665,Soy Sauce
Trial 3,6.466666666666665,47.46666666666664,11.600000000000001,44.26666666666668,-16.93333333333328,-31.26666666666665,Soy Sauce
Trial 3,7.466666666666665,49.46666666666664,12.600000000000001,44.26666666666668,-16.93333333333328,-31.26666666666665,Soy Sauce
Trial 3,7.466666666666665,51.46666666666664,12.600000000000001,45.26666666666668,-15.93333333333328,-30.26666666666665,Soy Sauce
Trial 3,7.466666666666665,51.46666666666664,12.600000000000001,46.26666666666668,-15.93333333333328,-29.26666666666665,Soy Sauce
Trial 3,7.466666666666665,53.46666666666664,12.600000000000001,47.26666666666668,-14.93333333333328,-27.26666666666665,Soy Sauce
Trial 3,8.466666666666665,54.46666666666664,13.600000000000001,48.26666666666668,-14.93333333333328,-27.26666666666665,Soy Sauce
Trial 3,8.466666666666665,56.46666666666664,13.600000000000001,50.26666666666668,-13.93333333333328,-25.26666666666665,Soy Sauce
Trial 3,8.466666666666665,57.46666666666664,13.600000000000001,50.26666666666668,-13.93333333333328,-26.26666666666665,Soy Sauce
Trial 3,8.466666666666665,58.46666666666664,14.600000000000001,52.26666666666668,-12.93333333333328,-24.26666666666665,Soy Sauce
Trial 3,8.466666666666665,60.46666666666664,14.600000000000001,53.26666666666668,-11.93333333333328,-23.26666666666665,Soy Sauce
Trial 3,8.466666666666665,61.46666666666664,14.600000000000001,54.26666666666668,-11.93333333333328,-22.26666666666665,Soy Sauce
Trial 3,9.466666666666665,62.46666666666664,15.600000000000001,55.26666666666668,-11.93333333333328,-21.26666666666665,Soy Sauce
Trial 3,8.466666666666665,63.46666666666664,15.600000000000001,56.26666666666668,-10.93333333333328,-20.26666666666665,Soy Sauce
Trial 3,9.466666666666665,65.46666666666664,15.600000000000001,56.26666666666668,-9.93333333333328,-20.26666666666665,Soy Sauce
Trial 3,9.466666666666665,67.46666666666664,16.6,57.26666666666668,-9.93333333333328,-20.26666666666665,Soy Sauce
Trial 3,9.466666666666665,67.46666666666664,16.6,58.26666666666668,-9.93333333333328,-18.26666666666665,Soy Sauce
Trial 3,9.466666666666665,69.46666666666664,17.6,59.26666666666668,-8.93333333333328,-18.26666666666665,Soy Sauce
Trial 3,9.466666666666665,70.46666666666664,17.6,61.26666666666668,-7.93333333333328,-16.26666666666665,Soy Sauce
Trial 3,10.466666666666665,71.46666666666664,17.6,61.26666666666668,-7.93333333333328,-17.26666666666665,Soy Sauce
