Label,MQ2,MQ3,MQ135,MQ136,MQ137
Fish Sauce,18.32113145,76.63560732,20.05823627,140.2828619,384.484193
Fish Sauce,20.95238095,76.31527094,22.56321839,128.5238095,467.1100164
Fish Sauce,19.75041597,62.81031614,22.37271215,153.1747088,412.8086522
Fish Sauce,21.50819672,79.03934426,22.87848933,138.2606557,478.9032787
Fish Sauce,20.63772955,59.98998331,23.0066778,136.5792988,422.6627713
Fish Sauce,20.639399,60.24207012,22.74290484,141.8914858,427.9482471
Fish Sauce,20.44741235,61.70617696,22.9048414,150.2537563,440.6343907
Fish Sauce,18.5391015,73.90183028,20.12978369,139.8269551,394.5391015
Fish Sauce,18.6422629,74.76539101,20.24958403,141.3510815,404.0881864
Fish Sauce,18.4093178,73.5374376,20.04492512,137.063228,402.2579035
Fish Sauce,18.6156406,59.47088186,20.62063228,147.6422629,382.2878536
Fish Sauce,18.87640449,61.99897855,20.58222676,149.9407559,389.8304392
Fish Sauce,18.17304493,58.31946755,20.22129784,135.6389351,381.1364393
Fish Sauce,19.71214642,57.98336106,22.98835275,166.9883527,354.2479201
Fish Sauce,21.74876847,58.50738916,24.22697368,138.4203612,395.0492611
Fish Sauce,20.26123128,53.26289517,22.34608985,126.6688852,393.7487521
Fish Sauce,21.58735441,60.4093178,23.81198003,147.1381032,395.515807
Fish Sauce,20.60197368,52.97532895,23.42668863,129.9276316,357.9243421
Fish Sauce,21.06026059,51.1237785,24.30130293,141.014658,355.2149837
Fish Sauce,21.1,60.6147541,23.44334975,148.9180328,403.6868852
Fish Sauce,20.92892562,55.48099174,22.58677686,135.2413223,392.7487603
Oyster Sauce,17.80551053,46.70988655,21.10696921,86.44084279,327.7617504
Oyster Sauce,16.70431894,51.08803987,19.24418605,84.54983389,345.1179402
Oyster Sauce,17.65391015,53.7437604,21.0266223,105.0382696,330.2795341
Oyster Sauce,17.14808652,51.27787022,20.12312812,92.90848586,316.0166389
Oyster Sauce,17.86115702,43.78842975,21.28264463,91.7785124,318.646281
Oyster Sauce,18.03099511,49.18270799,21.81566069,90.89885808,336.7569331
Oyster Sauce,17.91843393,48.46655791,21.32463295,89.3360522,336.8564437
Oyster Sauce,17.76112026,46.06260297,21.11532125,86.96869852,322.5123558
Oyster Sauce,17.69444444,45.76797386,21.01633987,85.59803922,321.4232026
Oyster Sauce,17.85737705,46.93770492,21.35737705,86.89508197,326.6557377
Oyster Sauce,18.48768473,59.44006568,21.72532895,79.88998358,402.0426929
Oyster Sauce,18.48848684,58.79769737,21.34703947,79.22697368,402.9753289
Oyster Sauce,18.56594324,46.82804674,22.4624374,90.25876461,366.803005
Oyster Sauce,16.65723794,56.19800333,19.18635607,105.2612313,310.890183
Oyster Sauce,16.65224626,55.7703827,18.96173045,98.96505824,311.3660566
Oyster Sauce,17.0166113,51.30730897,19.69767442,95.11295681,346.0215947
Oyster Sauce,16.96339434,52.10648918,19.60732113,90.61397671,348.3793677
Oyster Sauce,16.76206323,50.79201331,19.36772047,86.25956739,342.9633943
Oyster Sauce,16.77537438,51.57404326,19.40765391,86.73377704,347.437604
Oyster Sauce,18.35255354,41.00329489,21.46787479,81.88632619,328.5041186
Oyster Sauce,18.34910277,43.99021207,21.57422512,78.55791191,336.6737357
Oyster Sauce,18.30819672,43.95081967,21.54351396,78.47704918,333.2327869
Oyster Sauce,19.36721311,45.82459016,22.77996716,105.8377049,322.804918
Oyster Sauce,19.58735441,48.72545757,22.95840266,106.7004992,352.4176373
Oyster Sauce,19.21464226,47.40266223,22.89351082,98.14975042,332.4309484
Oyster Sauce,19.01642036,45.85385878,22.70888158,90.72413793,331.1625616
Oyster Sauce,19.53996737,46.24143556,23.23039216,100.8972268,351.3784666
Oyster Sauce,19.6097561,48.40325203,22.97398374,98.14796748,352.1577236
Oyster Sauce,19.82160393,52.11456628,23.30819672,95.15220949,370.4402619
Oyster Sauce,18.57237937,44.58069884,21.87520799,82.74209651,334.9650582
Worcestershire Sauce,38.02828619,135.9966722,28.34608985,317.7104825,551.4242928
Worcestershire Sauce,35.78202995,121.7004992,30.17304493,325.202995,558.1580699
Worcestershire Sauce,34.47420965,139.3394343,31.86189684,329.3510815,537.8535774
Worcestershire Sauce,39.70382696,129.640599,31.50915141,298.6222962,543.6023295
Worcestershire Sauce,33.49009901,121.7326733,29.34158416,327.9257426,578.4323432
Worcestershire Sauce,33.43934426,113.3836066,28.48688525,321.9852459,563.4590164
Worcestershire Sauce,34.875,119.4884868,29.47039474,333.8371711,580.2763158
Worcestershire Sauce,52.8163606,166.2754591,41.63439065,376.5809683,633.4240401
Worcestershire Sauce,33.55518946,114.261944,29.14003295,333.0939044,566.5716639
Worcestershire Sauce,35.5730897,118.717608,30.80398671,341.1262458,570.4950166
Worcestershire Sauce,33.56907895,110.2039474,29.17434211,323.6151316,547.9276316
Worcestershire Sauce,40.4359401,157.3560732,30.29284526,344.1663894,592.2063228
Worcestershire Sauce,33.68219634,113.7520799,30.88186356,348.6921797,553.8419301
Worcestershire Sauce,35.71849427,120.0016367,31.25204583,358.4435352,574.6219313
