Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Fish Sauce,22.87848933,138.2606557,21.50819672,79.03934426,478.9032787,567.6934426
Fish Sauce,23.0066778,136.5792988,20.63772955,59.98998331,422.6627713,543.033389
Fish Sauce,22.74290484,141.8914858,20.639399,60.24207012,427.9482471,549.3222037
Fish Sauce,22.9048414,150.2537563,20.44741235,61.70617696,440.6343907,564.0767947
Fish Sauce,20.12978369,139.8269551,18.5391015,73.90183028,394.5391015,451.2412646
Fish Sauce,20.24958403,141.3510815,18.6422629,74.76539101,404.0881864,461.0133111
Fish Sauce,20.04492512,137.063228,18.4093178,73.5374376,402.2579035,451.4725458
Fish Sauce,20.62063228,147.6422629,18.6156406,59.47088186,382.2878536,453.6173045
Fish Sauce,20.58222676,149.9407559,18.87640449,61.99897855,389.8304392,447.113381
Fish Sauce,20.22129784,135.6389351,18.17304493,58.31946755,381.1364393,462.8685524
Fish Sauce,22.98835275,166.9883527,19.71214642,57.98336106,354.2479201,440.5823627
Fish Sauce,24.22697368,138.4203612,21.74876847,58.50738916,395.0492611,532.6502463
Fish Sauce,22.34608985,126.6688852,20.26123128,53.26289517,393.7487521,500.6356073
Fish Sauce,23.81198003,147.1381032,21.58735441,60.4093178,395.515807,542.9900166
Fish Sauce,23.42668863,129.9276316,20.60197368,52.97532895,357.9243421,512.2845395
Fish Sauce,24.30130293,141.014658,21.06026059,51.1237785,355.2149837,527.9087948
Fish Sauce,23.44334975,148.9180328,21.1,60.6147541,403.6868852,533.3180328
Fish Sauce,22.58677686,135.2413223,20.92892562,55.48099174,392.7487603,534.1553719
Oyster Sauce,21.10696921,86.44084279,17.80551053,46.70988655,327.7617504,425.6564019
Oyster Sauce,19.24418605,84.54983389,16.70431894,51.08803987,345.1179402,406.8903654
Oyster Sauce,21.0266223,105.0382696,17.65391015,53.7437604,330.2795341,415.7204659
Oyster Sauce,20.12312812,92.90848586,17.14808652,51.27787022,316.0166389,404.5873544
Oyster Sauce,21.28264463,91.7785124,17.86115702,43.78842975,318.646281,402.0115702
Oyster Sauce,21.81566069,90.89885808,18.03099511,49.18270799,336.7569331,441.0391517
Oyster Sauce,21.32463295,89.3360522,17.91843393,48.46655791,336.8564437,439.0440457
Oyster Sauce,21.11532125,86.96869852,17.76112026,46.06260297,322.5123558,415.5370675
