Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 4,23,105,19,48,335,490,Fish Sauce
Trial 4,23,105,20,49,336,489,Fish Sauce
Trial 4,23,105,20,48,335,490,Fish Sauce
Trial 4,23,105,19,48,337,491,Fish Sauce
Trial 4,23,106,19,49,337,490,Fish Sauce
Trial 4,23,106,20,48,336,491,Fish Sauce
Trial 4,23,106,21,48,336,490,Fish Sauce
Trial 4,23,106,19,48,336,491,Fish Sauce
Trial 4,23,107,21,49,337,492,Fish Sauce
Trial 4,23,107,21,48,335,488,Fish Sauce
Trial 4,23,107,20,48,336,491,Fish Sauce
Trial 4,23,107,21,49,338,493,Fish Sauce
Trial 4,23,107,20,48,337,491,Fish Sauce
Trial 4,24,107,20,49,338,489,Fish Sauce
Trial 4,23,107,19,48,337,491,Fish Sauce
Trial 4,23,107,20,49,337,491,Fish Sauce
Trial 4,24,108,20,48,336,489,Fish Sauce
Trial 4,23,108,20,48,337,490,Fish Sauce
Trial 4,24,107,20,50,341,494,Fish Sauce
Trial 4,22,109,20,50,341,493,Fish Sauce
Trial 4,24,108,20,48,338,490,Fish Sauce
Trial 4,22,109,20,48,338,492,Fish Sauce
Trial 4,22,108,20,49,338,492,Fish Sauce
Trial 4,23,108,19,48,338,491,Fish Sauce
Trial 4,23,110,20,48,339,492,Fish Sauce
Trial 4,24,109,20,48,340,494,Fish Sauce
Trial 4,23,108,20,48,338,491,Fish Sauce
Trial 4,23,109,20,49,339,491,Fish Sauce
Trial 4,23,110,19,48,340,495,Fish Sauce
Trial 4,23,110,20,49,340,492,Fish Sauce
Trial 4,24,110,20,48,339,492,Fish Sauce
Trial 4,24,111,19,49,340,493,Fish Sauce
Trial 4,22,111,20,49,339,494,Fish Sauce
Trial 4,23,111,20,48,340,495,Fish Sauce
Trial 4,23,111,20,50,340,492,Fish Sauce
Trial 4,23,111,20,48,339,493,Fish Sauce
Trial 4,22,111,20,49,340,492,Fish Sauce
Trial 4,23,111,20,49,340,492,Fish Sauce
Trial 4,22,111,20,49,340,494,Fish Sauce
Trial 4,23,111,20,50,342,495,Fish Sauce
Trial 4,23,111,20,49,342,495,Fish Sauce
Trial 4,23,111,19,49,341,494,Fish Sauce
Trial 4,24,112,20,49,340,492,Fish Sauce
Trial 4,24,112,21,49,341,492,Fish Sauce
Trial 4,23,113,20,49,341,494,Fish Sauce
Trial 4,22,112,20,50,342,494,Fish Sauce
Trial 4,23,113,19,49,342,497,Fish Sauce
Trial 4,23,113,20,49,341,494,Fish Sauce
Trial 4,24,115,21,48,342,494,Fish Sauce
Trial 4,23,113,20,49,341,492,Fish Sauce
Trial 4,24,113,21,49,341,493,Fish Sauce
Trial 4,23,114,20,50,341,493,Fish Sauce
Trial 4,23,114,20,50,342,495,Fish Sauce
Trial 4,23,114,20,50,343,494,Fish Sauce
Trial 4,24,114,21,49,344,497,Fish Sauce
Trial 4,24,115,20,51,343,495,Fish Sauce
Trial 4,23,114,20,49,343,495,Fish Sauce
Trial 4,24,115,20,49,343,495,Fish Sauce
Trial 4,23,115,20,50,343,495,Fish Sauce
Trial 4,24,114,21,48,342,494,Fish Sauce
Trial 4,23,115,20,50,343,495,Fish Sauce
Trial 4,23,116,21,50,346,498,Fish Sauce
Trial 4,24,115,20,49,344,496,Fish Sauce
Trial 4,22,116,20,50,344,496,Fish Sauce
Trial 4,23,116,19,49,345,497,Fish Sauce
Trial 4,23,116,20,50,347,497,Fish Sauce
Trial 4,24,116,20,50,346,499,Fish Sauce
Trial 4,23,117,20,50,346,500,Fish Sauce
Trial 4,23,116,21,50,345,497,Fish Sauce
Trial 4,24,116,20,50,344,494,Fish Sauce
Trial 4,23,118,20,50,347,499,Fish Sauce
Trial 4,24,116,20,49,346,498,Fish Sauce
Trial 4,23,117,21,50,345,498,Fish Sauce
Trial 4,23,117,20,51,345,497,Fish Sauce
Trial 4,23,117,20,50,345,498,Fish Sauce
Trial 4,23,118,20,51,347,498,Fish Sauce
Trial 4,24,119,21,50,349,501,Fish Sauce
Trial 4,24,118,20,49,348,500,Fish Sauce
Trial 4,23,119,21,51,346,498,Fish Sauce
Trial 4,23,117,20,50,346,498,Fish Sauce
Trial 4,23,118,21,51,346,498,Fish Sauce
Trial 4,23,118,20,50,346,499,Fish Sauce
Trial 4,23,118,20,50,346,500,Fish Sauce
Trial 4,22,120,21,51,349,502,Fish Sauce
Trial 4,24,120,22,50,349,501,Fish Sauce
Trial 4,24,119,21,51,347,499,Fish Sauce
Trial 4,22,120,21,50,349,498,Fish Sauce
Trial 4,23,119,21,50,348,502,Fish Sauce
Trial 4,24,119,21,52,349,501,Fish Sauce
Trial 4,23,119,21,51,348,500,Fish Sauce
Trial 4,22,120,22,51,349,502,Fish Sauce
Trial 4,24,120,20,50,348,501,Fish Sauce
Trial 4,24,121,21,51,348,500,Fish Sauce
Trial 4,24,120,21,50,347,498,Fish Sauce
Trial 4,24,120,20,50,349,499,Fish Sauce
Trial 4,23,120,21,50,347,498,Fish Sauce
Trial 4,23,120,21,51,349,501,Fish Sauce
Trial 4,23,120,21,50,351,503,Fish Sauce
Trial 4,24,121,19,51,351,503,Fish Sauce
Trial 4,23,121,19,51,350,502,Fish Sauce
Trial 4,23,121,21,51,349,500,Fish Sauce
Trial 4,23,121,20,51,349,502,Fish Sauce
Trial 4,23,121,20,51,349,501,Fish Sauce
Trial 4,23,120,20,52,349,502,Fish Sauce
Trial 4,23,121,21,51,350,504,Fish Sauce
Trial 4,24,121,20,50,352,505,Fish Sauce
Trial 4,24,122,20,51,351,503,Fish Sauce
Trial 4,23,122,21,51,349,501,Fish Sauce
Trial 4,22,122,20,51,350,501,Fish Sauce
Trial 4,23,122,20,51,350,502,Fish Sauce
Trial 4,23,123,20,51,349,501,Fish Sauce
Trial 4,24,122,20,52,351,501,Fish Sauce
Trial 4,24,123,21,53,352,503,Fish Sauce
Trial 4,23,124,21,51,350,503,Fish Sauce
Trial 4,24,123,20,51,350,502,Fish Sauce
Trial 4,24,122,20,51,351,503,Fish Sauce
Trial 4,23,123,21,52,351,502,Fish Sauce
Trial 4,24,123,20,51,351,503,Fish Sauce
Trial 4,24,123,20,51,351,505,Fish Sauce
Trial 4,23,123,21,51,351,502,Fish Sauce
Trial 4,23,124,21,51,352,504,Fish Sauce
Trial 4,23,124,20,52,352,504,Fish Sauce
Trial 4,24,124,21,51,351,503,Fish Sauce
Trial 4,24,124,20,51,351,503,Fish Sauce
Trial 4,24,124,20,50,351,503,Fish Sauce
Trial 4,23,123,20,51,352,504,Fish Sauce
Trial 4,23,125,21,50,354,506,Fish Sauce
Trial 4,23,125,22,52,354,506,Fish Sauce
Trial 4,23,125,21,51,353,506,Fish Sauce
Trial 4,23,125,21,51,352,504,Fish Sauce
Trial 4,23,125,20,51,352,505,Fish Sauce
Trial 4,24,125,20,51,352,505,Fish Sauce
Trial 4,23,125,21,52,352,505,Fish Sauce
Trial 4,23,126,20,51,354,507,Fish Sauce
Trial 4,23,126,20,52,355,507,Fish Sauce
Trial 4,24,126,21,52,354,506,Fish Sauce
Trial 4,23,126,21,52,353,506,Fish Sauce
Trial 4,23,126,21,51,353,505,Fish Sauce
Trial 4,23,127,21,52,353,505,Fish Sauce
Trial 4,24,127,21,52,354,507,Fish Sauce
Trial 4,24,127,21,52,352,503,Fish Sauce
Trial 4,23,126,20,52,354,507,Fish Sauce
Trial 4,23,127,21,52,354,507,Fish Sauce
Trial 4,24,127,20,52,354,506,Fish Sauce
Trial 4,24,128,21,52,354,506,Fish Sauce
Trial 4,24,126,20,51,354,506,Fish Sauce
Trial 4,24,127,20,51,355,507,Fish Sauce
Trial 4,23,128,21,52,355,505,Fish Sauce
Trial 4,23,128,21,52,356,509,Fish Sauce
Trial 4,22,128,21,52,355,510,Fish Sauce
Trial 4,23,128,20,52,354,506,Fish Sauce
Trial 4,23,128,21,53,355,508,Fish Sauce
Trial 4,23,128,19,51,355,507,Fish Sauce
Trial 4,24,128,21,52,355,506,Fish Sauce
Trial 4,23,128,21,53,356,510,Fish Sauce
Trial 4,23,130,20,52,356,508,Fish Sauce
Trial 4,25,129,20,53,356,508,Fish Sauce
Trial 4,23,129,21,53,357,508,Fish Sauce
Trial 4,23,128,20,52,355,508,Fish Sauce
Trial 4,24,129,20,51,355,507,Fish Sauce
Trial 4,23,129,20,53,356,509,Fish Sauce
Trial 4,23,129,21,53,356,508,Fish Sauce
Trial 4,24,130,21,52,359,511,Fish Sauce
Trial 4,24,129,20,52,356,508,Fish Sauce
Trial 4,24,130,20,52,357,509,Fish Sauce
Trial 4,23,130,21,53,357,510,Fish Sauce
Trial 4,24,129,21,55,357,510,Fish Sauce
Trial 4,24,129,21,51,357,510,Fish Sauce
Trial 4,23,130,20,52,357,508,Fish Sauce
Trial 4,25,130,20,52,358,512,Fish Sauce
Trial 4,23,130,20,51,358,510,Fish Sauce
Trial 4,24,130,21,52,356,508,Fish Sauce
Trial 4,24,130,20,51,357,510,Fish Sauce
Trial 4,23,131,21,52,357,511,Fish Sauce
Trial 4,24,132,19,52,358,512,Fish Sauce
