Label,MQ2,MQ3,MQ135,MQ136
Unknown,26,133,20,46
Unknown,27,133,20,45
Unknown,26,133,19,45
Unknown,27,133,19,46
Unknown,27,133,19,46
Unknown,27,133,20,45
Unknown,27,133,20,45
Unknown,27,134,20,45
Unknown,27,134,19,45
Unknown,26,133,19,45
Unknown,26,133,19,46
Unknown,27,134,19,46
Unknown,25,134,20,45
Unknown,26,134,20,45
Unknown,25,134,20,46
Unknown,26,134,19,45
Unknown,26,134,19,46
Unknown,26,134,19,46
Unknown,27,135,20,47
Unknown,25,134,20,46
Unknown,26,134,20,44
Unknown,26,134,20,45
Unknown,27,134,20,46
Unknown,27,134,19,46
Unknown,27,134,20,46
Unknown,27,134,20,45
Unknown,26,135,20,45
Unknown,26,134,19,45
Unknown,26,134,19,46
Unknown,26,134,20,47
Unknown,26,135,19,46
Unknown,25,134,21,46
Unknown,27,134,19,46
Unknown,27,134,20,46
Unknown,26,134,19,47
Unknown,26,135,20,45
Unknown,27,134,19,45
Unknown,26,134,19,46
Unknown,26,134,20,46
Unknown,26,135,20,45
Unknown,27,135,20,46
Unknown,26,135,19,46
Unknown,26,135,20,47
Unknown,26,135,20,47
Unknown,27,135,19,46
Unknown,25,135,20,46
Unknown,26,136,19,45
Unknown,26,136,20,47
Unknown,26,135,19,46
Unknown,27,135,21,45
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,27,134,19,46
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,27,135,20,46
Unknown,26,135,20,46
Unknown,26,136,20,46
Unknown,26,136,19,45
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,26,135,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,25,136,20,46
Unknown,27,135,19,46
Unknown,26,136,19,46
Unknown,26,136,20,45
Unknown,26,136,20,45
Unknown,26,136,19,45
Unknown,26,136,20,46
Unknown,26,136,20,45
Unknown,25,136,19,46
Unknown,27,136,18,46
Unknown,26,136,20,46
Unknown,26,136,20,46
Unknown,26,136,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,27,136,20,45
Unknown,26,136,19,46
Unknown,27,136,20,46
Unknown,27,137,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,26,136,19,46
Unknown,26,137,19,46
Unknown,25,136,20,46
Unknown,26,137,20,46
Unknown,27,136,20,46
Unknown,27,136,19,46
Unknown,27,137,20,46
Unknown,27,136,20,46
Unknown,26,137,19,46
Unknown,27,136,20,46
Unknown,26,137,20,46
Unknown,26,137,20,46
Unknown,25,137,20,47
Unknown,27,136,19,46
Unknown,26,137,20,46
Unknown,27,137,20,46
