Label,MQ2,MQ3,MQ135,MQ136
Worcestershire Sauce,30.80398671,341.1262458,35.5730897,118.717608
Worcestershire Sauce,29.17434211,323.6151316,33.56907895,110.2039474
Worcestershire Sauce,30.29284526,344.1663894,40.4359401,157.3560732
Worcestershire Sauce,30.88186356,348.6921797,33.68219634,113.7520799
Worcestershire Sauce,31.25204583,358.4435352,35.71849427,120.0016367
Worcestershire Sauce,29.59283388,333.2638436,34.29967427,111.980456
Worcestershire Sauce,30.2640264,347.8927393,36.11551155,116.4455446
Worcestershire Sauce,30.13976705,349.296173,35.06655574,117.672213
Worcestershire Sauce,29.59410802,341.5613748,35.35679214,114.8183306
Worcestershire Sauce,33.37936772,382.7920133,47.33943428,181.608985
Worcestershire Sauce,29.27287854,325.0199667,44.7437604,154.156406
Worcestershire Sauce,31.24126456,346.8236273,42.36772047,158.1597338
Worcestershire Sauce,33.71048253,317.6672213,38.12312812,119.1447587
Worcestershire Sauce,30.50915141,322.3610649,39.32778702,123.4292845
Worcestershire Sauce,31.77204659,337.7004992,37.46755408,125.0049917
Worcestershire Sauce,29.55740433,323.7870216,35.40765391,122.0166389
Worcestershire Sauce,32.48424544,329.7595357,42.75290216,149.2487562
Worcestershire Sauce,35.58852459,321.0639344,44.63770492,122.2606557
Worcestershire Sauce,35.32622951,341.7590164,38.37868852,115.5918033
Worcestershire Sauce,33.59150327,335.0441176,37.9379085,112.9281046
Worcestershire Sauce,33.27512356,335.5881384,38.87149918,113.4728171
