Label,MQ2,MQ3,MQ135,MQ136
Unknown,129,654,159,325
Unknown,128,654,158,324
Unknown,128,654,159,325
Unknown,128,654,158,325
Unknown,129,654,159,325
Unknown,128,652,158,325
Unknown,128,654,159,325
Unknown,129,655,160,325
Unknown,128,654,159,325
Unknown,129,655,159,325
Unknown,130,655,159,325
Unknown,129,655,160,325
Unknown,129,655,159,326
Unknown,129,654,160,326
Unknown,129,655,159,325
Unknown,129,655,159,326
Unknown,129,655,158,326
Unknown,129,655,160,326
Unknown,130,654,160,326
Unknown,129,655,159,326
Unknown,130,655,160,326
Unknown,130,655,160,326
Unknown,130,655,160,325
Unknown,130,655,160,326
Unknown,130,656,160,327
Unknown,130,655,160,326
Unknown,129,655,160,326
Unknown,130,655,160,327
Unknown,130,656,160,326
Unknown,130,655,161,327
Unknown,130,656,160,326
Unknown,130,654,160,325
Unknown,130,656,160,327
Unknown,130,656,161,327
Unknown,131,656,161,327
Unknown,130,655,161,327
Unknown,130,656,161,327
Unknown,131,656,160,327
Unknown,130,656,160,327
Unknown,131,656,161,327
Unknown,130,654,161,326
Unknown,130,656,161,327
Unknown,130,656,160,327
Unknown,131,657,161,328
Unknown,131,656,161,327
Unknown,130,656,161,327
Unknown,131,656,161,327
Unknown,131,656,161,327
Unknown,131,658,161,328
Unknown,131,654,160,327
Unknown,131,657,161,328
Unknown,131,656,161,327
Unknown,131,657,161,327
Unknown,131,657,161,328
Unknown,132,657,161,328
Unknown,131,658,161,328
Unknown,132,657,161,328
Unknown,131,657,161,327
Unknown,132,657,161,328
Unknown,131,657,161,328
Unknown,131,657,161,329
Unknown,132,657,162,328
Unknown,132,657,162,328
Unknown,132,657,161,328
Unknown,132,658,162,328
Unknown,132,659,162,329
Unknown,132,657,162,328
Unknown,131,658,162,328
Unknown,132,658,162,328
Unknown,132,658,162,328
Unknown,131,658,162,329
Unknown,131,657,162,329
Unknown,132,658,162,329
Unknown,132,658,162,329
Unknown,132,658,163,329
Unknown,133,656,162,328
Unknown,132,658,162,329
Unknown,133,658,162,329
Unknown,133,658,163,329
Unknown,133,659,162,330
Unknown,133,658,162,329
Unknown,133,658,162,330
Unknown,132,659,162,329
Unknown,132,658,162,329
Unknown,132,657,162,329
Unknown,133,658,162,329
Unknown,133,658,163,329
Unknown,133,658,163,329
Unknown,133,659,163,330
Unknown,133,658,163,330
Unknown,133,658,163,330
Unknown,133,659,162,329
Unknown,132,660,163,330
Unknown,132,659,164,330
Unknown,133,659,163,330
Unknown,133,659,163,330
Unknown,133,659,163,330
Unknown,134,659,163,330
Unknown,133,660,163,330
Unknown,133,660,163,330
Unknown,133,659,163,330
Unknown,134,660,163,329
Unknown,133,659,164,330
Unknown,134,660,164,331
Unknown,134,660,164,330
Unknown,134,660,164,331
Unknown,134,660,163,330
Unknown,134,660,163,331
Unknown,133,660,163,330
Unknown,134,660,164,331
Unknown,134,659,163,330
Unknown,134,661,164,331
Unknown,134,660,164,331
Unknown,134,660,163,330
Unknown,134,660,164,331
Unknown,135,660,164,331
Unknown,134,660,164,331
Unknown,135,660,163,331
Unknown,134,661,164,331
Unknown,134,659,163,330
Unknown,134,661,164,331
Unknown,134,661,164,332
Unknown,135,661,164,331
Unknown,134,661,164,331
Unknown,135,661,165,332
Unknown,134,661,164,331
Unknown,135,660,165,331
Unknown,134,661,165,332
